layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
1,4,linear,1,0.1,16,185.31649621760835,65921.84632015444,-1.0818250179290771,0.8103208841170846
1,4,linear,1,0.1,32,184.54189964497442,65628.52471708143,-1.0725617408752441,0.8111137158188594
1,4,linear,1,0.1,64,184.3143097312373,65587.28977370163,-1.0712594985961914,0.8113466635299516
1,4,linear,1,0.1,128,184.78544235018148,65576.03979470785,-1.07090425491333,0.8108644397643997
1,4,linear,1,0.1,256,185.15827310392666,65869.19809401773,-1.0801622867584229,0.8104828320328283
1,4,linear,1,0.1,512,184.83033684534809,65805.19029777951,-1.0781409740447998,0.810818488387566
1,4,linear,1,0.01,16,184.55663346924032,65784.37161390859,-1.0774834156036377,0.8110986351389556
1,4,linear,1,0.01,32,185.43337081553216,66070.52399107088,-1.0865201950073242,0.8102012581212568
1,4,linear,1,0.01,64,184.7476059007528,65781.95935717867,-1.0774071216583252,0.8109031669388406
1,4,linear,1,0.01,128,185.12420113948875,65922.7684474734,-1.0818541049957275,0.8105177061008304
1,4,linear,1,0.01,256,185.32119880891668,66033.5670438996,-1.085353136062622,0.810316070819942
1,4,linear,1,0.01,512,184.86483971717348,65843.38322687616,-1.0793471336364746,0.8107831732679903
1,4,linear,1,0.001,16,184.8797844608922,65853.73420814634,-1.0796740055084229,0.8107678767032833
1,4,linear,1,0.001,32,184.80627103824216,65798.28797419631,-1.0779228210449219,0.8108431207387491
1,4,linear,1,0.001,64,184.7298936242124,65809.67271907792,-1.0782825946807861,0.8109212961881143
1,4,linear,1,0.001,128,185.1028320926517,65921.33986839069,-1.0818088054656982,0.8105395782060884
1,4,linear,1,0.001,256,185.10471139555116,65895.8427854693,-1.0810036659240723,0.8105376546616672
1,4,linear,1,0.001,512,185.38662907390312,66007.42015857415,-1.0845272541046143,0.8102491002314195
1,4,linear,1,0.0001,16,185.34378713126733,66025.43269889051,-1.0850961208343506,0.8102929507356527
1,4,linear,1,0.0001,32,185.4207999593781,66062.34406300834,-1.0862617492675781,0.8102141249136355
1,4,linear,1,0.0001,64,184.84046588571243,65827.21495059677,-1.078836441040039,0.8108081208948695
1,4,linear,1,0.0001,128,184.70179829187478,65798.1787404685,-1.0779194831848145,0.8109500529254097
1,4,linear,1,0.0001,256,185.34674590078404,66007.95474363666,-1.0845441818237305,0.8102899223124012
1,4,linear,1,0.0001,512,184.76280315957268,65805.96641697972,-1.0781652927398682,0.8108876119144599
1,4,linear,10,0.1,16,180.15801239877905,59923.33381978022,-0.8923907279968262,0.8156008061424984
1,4,linear,10,0.1,32,180.61916503046132,60741.53655733573,-0.9182295799255371,0.8151287973076138
1,4,linear,10,0.1,64,180.44544553928188,60635.10732007401,-0.9148687124252319,0.8153066064081045
1,4,linear,10,0.1,128,178.96338226418982,59544.03175314433,-0.8804121017456055,0.8168235596067658
1,4,linear,10,0.1,256,178.25873237736823,59047.71993144846,-0.8647388219833374,0.8175447979760817
1,4,linear,10,0.1,512,179.56087499037298,60071.26618140209,-0.8970624208450317,0.8162120010333951
1,4,linear,10,0.01,16,184.99390515475346,65718.50928765148,-1.0754034519195557,0.8106510694424223
