hidden_layers,activation,epochs,learning_rate,batch_size,accuracy
[4],linear,1,10.0,16,0.4604878048780488
[4],linear,1,10.0,32,0.21951219512195122
[4],linear,1,10.0,64,0.39902439024390246
[4],linear,1,10.0,128,0.26634146341463416
[4],linear,1,10.0,256,0.20878048780487804
[4],linear,1,10.0,512,0.21951219512195122
[4],linear,1,1.0,16,0.7736585365853659
[4],linear,1,1.0,32,0.8429268292682927
[4],linear,1,1.0,64,0.8497560975609756
[4],linear,1,1.0,128,0.7873170731707317
[4],linear,1,1.0,256,0.7170731707317073
[4],linear,1,1.0,512,0.7678048780487805
[4],linear,1,0.1,16,0.8312195121951219
[4],linear,1,0.1,32,0.8351219512195122
[4],linear,1,0.1,64,0.8263414634146341
[4],linear,1,0.1,128,0.8565853658536585
[4],linear,1,0.1,256,0.8195121951219512
[4],linear,1,0.1,512,0.7970731707317074
[4],linear,1,0.01,16,0.8351219512195122
[4],linear,1,0.01,32,0.8302439024390244
[4],linear,1,0.01,64,0.8029268292682927
[4],linear,1,0.01,128,0.6829268292682927
[4],linear,1,0.01,256,0.791219512195122
[4],linear,1,0.01,512,0.6146341463414634
[4],linear,1,0.001,16,0.5629268292682926
[4],linear,1,0.001,32,0.4253658536585366
[4],linear,1,0.001,64,0.6351219512195122
[4],linear,1,0.001,128,0.44
[4],linear,1,0.001,256,0.35609756097560974
[4],linear,1,0.001,512,0.6653658536585366
[4],linear,1,0.0001,16,0.68
[4],linear,1,0.0001,32,0.5375609756097561
[4],linear,1,0.0001,64,0.3678048780487805
[4],linear,1,0.0001,128,0.2839024390243902
[4],linear,1,0.0001,256,0.44390243902439025
[4],linear,1,0.0001,512,0.6575609756097561
[4],linear,10,10.0,16,0.7804878048780488
[4],linear,10,10.0,32,0.4058536585365854
[4],linear,10,10.0,64,0.2546341463414634
[4],linear,10,10.0,128,0.7170731707317073
[4],linear,10,10.0,256,0.42048780487804877
[4],linear,10,10.0,512,0.31121951219512195
[4],linear,10,1.0,16,0.7765853658536586
[4],linear,10,1.0,32,0.8224390243902439
[4],linear,10,1.0,64,0.8848780487804878
[4],linear,10,1.0,128,0.864390243902439
