Kernel Size,Pooling,Optimizer,Epochs,Accuracy
3,max,SGD,5,0.9058333333333334
3,max,SGD,50,0.9248333333333333
3,max,SGD,100,0.9193333333333333
3,max,SGD,250,0.9205
3,max,SGD,350,0.922
3,max,RMSProp,5,0.8611666666666666
3,max,RMSProp,50,0.8861666666666667
3,max,RMSProp,100,0.8825
3,max,RMSProp,250,0.8856666666666667
3,max,RMSProp,350,0.10433333333333333
3,max,Adam,5,0.9083333333333333
3,max,Adam,50,0.9261666666666667
3,max,Adam,100,0.9246666666666666
3,max,Adam,250,0.9253333333333333
3,max,Adam,350,0.9283333333333333
3,avg,SGD,5,0.8928333333333334
3,avg,SGD,50,0.9235
3,avg,SGD,100,0.9235
3,avg,SGD,250,0.9241666666666667
3,avg,SGD,350,0.9146666666666666
3,avg,RMSProp,5,0.8946666666666667
3,avg,RMSProp,50,0.9046666666666666
3,avg,RMSProp,100,0.9048333333333334
3,avg,RMSProp,250,0.9031666666666667
3,avg,RMSProp,350,0.901
3,avg,Adam,5,0.9103333333333333
3,avg,Adam,50,0.9271666666666667
3,avg,Adam,100,0.9268333333333333
3,avg,Adam,250,0.9275
3,avg,Adam,350,0.9255
5,max,SGD,5,0.91
5,max,SGD,50,0.9298333333333333
5,max,SGD,100,0.9228333333333333
5,max,SGD,250,0.9271666666666667
5,max,SGD,350,0.9263333333333333
5,max,RMSProp,5,0.10666666666666667
5,max,RMSProp,50,0.8708333333333333
5,max,RMSProp,100,0.10433333333333333
5,max,RMSProp,250,0.8661666666666666
5,max,RMSProp,350,0.8645
5,max,Adam,5,0.915
5,max,Adam,50,0.9211666666666667
5,max,Adam,100,0.9208333333333333
5,max,Adam,250,0.9226666666666666
5,max,Adam,350,0.9221666666666667
5,avg,SGD,5,0.9001666666666667
5,avg,SGD,50,0.9225
5,avg,SGD,100,0.925
5,avg,SGD,250,0.9178333333333333
5,avg,SGD,350,0.925
5,avg,RMSProp,5,0.8616666666666667
5,avg,RMSProp,50,0.8833333333333333
5,avg,RMSProp,100,0.8861666666666667
5,avg,RMSProp,250,0.8871666666666667
5,avg,RMSProp,350,0.8728333333333333
5,avg,Adam,5,0.9156666666666666
5,avg,Adam,50,0.9243333333333333
5,avg,Adam,100,0.9211666666666667
5,avg,Adam,250,0.9241666666666667
5,avg,Adam,350,0.924
7,max,SGD,5,0.9038333333333334
7,max,SGD,50,0.9226666666666666
7,max,SGD,100,0.9228333333333333
7,max,SGD,250,0.9196666666666666
7,max,SGD,350,0.9195
7,max,RMSProp,5,0.10666666666666667
7,max,RMSProp,50,0.8501666666666666
7,max,RMSProp,100,0.8603333333333333
7,max,RMSProp,250,0.10666666666666667
7,max,RMSProp,350,0.8446666666666667
7,max,Adam,5,0.9153333333333333
7,max,Adam,50,0.9181666666666667
7,max,Adam,100,0.9181666666666667
7,max,Adam,250,0.915
7,max,Adam,350,0.9221666666666667
7,avg,SGD,5,0.8931666666666667
7,avg,SGD,50,0.9175
7,avg,SGD,100,0.92
7,avg,SGD,250,0.9186666666666666
7,avg,SGD,350,0.9198333333333333
7,avg,RMSProp,5,0.8303333333333334
7,avg,RMSProp,50,0.8713333333333333
7,avg,RMSProp,100,0.8781666666666667
7,avg,RMSProp,250,0.8708333333333333
7,avg,RMSProp,350,0.8551666666666666
7,avg,Adam,5,0.9031666666666667
7,avg,Adam,50,0.9185
7,avg,Adam,100,0.9175
7,avg,Adam,250,0.9196666666666666
7,avg,Adam,350,0.9178333333333333
