Kernel Size,Pooling,Optimizer,Epochs,Validation Accuracy
3,max,SGD,5,0.6926
3,max,SGD,50,0.73
3,max,SGD,100,0.7266
3,max,SGD,250,0.728
3,max,SGD,350,0.741
3,max,RMSProp,5,0.4974
3,max,RMSProp,50,0.6022
3,max,RMSProp,100,0.5902
3,max,RMSProp,250,0.6168
3,max,RMSProp,350,0.5832
3,max,Adam,5,0.7092
3,max,Adam,50,0.7204
3,max,Adam,100,0.7216
3,max,Adam,250,0.72
3,max,Adam,350,0.7288
3,avg,SGD,5,0.6752
3,avg,SGD,50,0.6964
3,avg,SGD,100,0.7064
3,avg,SGD,250,0.704
3,avg,SGD,350,0.7086
3,avg,RMSProp,5,0.528
3,avg,RMSProp,50,0.56
3,avg,RMSProp,100,0.6046
3,avg,RMSProp,250,0.6266
3,avg,RMSProp,350,0.6216
3,avg,Adam,5,0.6988
3,avg,Adam,50,0.7
3,avg,Adam,100,0.7172
3,avg,Adam,250,0.7122
3,avg,Adam,350,0.7098
5,max,SGD,5,0.7294
5,max,SGD,50,0.7368
5,max,SGD,100,0.7338
5,max,SGD,250,0.7416
5,max,SGD,350,0.7392
5,max,RMSProp,5,0.2996
5,max,RMSProp,50,0.5024
5,max,RMSProp,100,0.529
5,max,RMSProp,250,0.2868
5,max,RMSProp,350,0.5468
5,max,Adam,5,0.7112
5,max,Adam,50,0.7338
5,max,Adam,100,0.731
5,max,Adam,250,0.7362
5,max,Adam,350,0.7306
5,avg,SGD,5,0.6742
5,avg,SGD,50,0.7084
5,avg,SGD,100,0.7262
5,avg,SGD,250,0.717
5,avg,SGD,350,0.7186
5,avg,RMSProp,5,0.3332
5,avg,RMSProp,50,0.5742
5,avg,RMSProp,100,0.5482
5,avg,RMSProp,250,0.5346
5,avg,RMSProp,350,0.5278
5,avg,Adam,5,0.7182
5,avg,Adam,50,0.7212
5,avg,Adam,100,0.7376
5,avg,Adam,250,0.7178
5,avg,Adam,350,0.727
7,max,SGD,5,0.7162
7,max,SGD,50,0.7248
7,max,SGD,100,0.7268
7,max,SGD,250,0.7338
7,max,SGD,350,0.7186
7,max,RMSProp,5,0.2892
7,max,RMSProp,50,0.2138
7,max,RMSProp,100,0.2264
7,max,RMSProp,250,0.3484
7,max,RMSProp,350,0.1646
7,max,Adam,5,0.7016
7,max,Adam,50,0.7168
7,max,Adam,100,0.7134
7,max,Adam,250,0.7166
7,max,Adam,350,0.7094
7,avg,SGD,5,0.6856
7,avg,SGD,50,0.718
7,avg,SGD,100,0.7136
7,avg,SGD,250,0.7148
7,avg,SGD,350,0.7124
7,avg,RMSProp,5,0.2442
7,avg,RMSProp,50,0.4074
7,avg,RMSProp,100,0.477
7,avg,RMSProp,250,0.4844
7,avg,RMSProp,350,0.4708
7,avg,Adam,5,0.7092
7,avg,Adam,50,0.7138
7,avg,Adam,100,0.701
7,avg,Adam,250,0.7098
7,avg,Adam,350,0.7084
