Model Type,Hidden Size,Pooling,Optimizer,Epochs,Accuracy
Deep RNN,16,max,SGD,5,0.8973791883224593
Deep RNN,16,max,SGD,50,0.9064469755612076
Deep RNN,16,max,SGD,100,0.9037929890523057
Deep RNN,16,max,SGD,250,0.9040141545947141
Deep RNN,16,max,SGD,350,0.9030189096538759
Deep RNN,16,max,RMSprop,5,0.9004755059161783
Deep RNN,16,max,RMSprop,50,0.9027977441114674
Deep RNN,16,max,RMSprop,100,0.9019130819418335
Deep RNN,16,max,RMSprop,250,0.9073316377308416
Deep RNN,16,max,RMSprop,350,0.9060046444763906
Deep RNN,16,max,Adam,5,0.9035718235098972
Deep RNN,16,max,Adam,50,0.9041247373659184
Deep RNN,16,max,Adam,100,0.9051199823067566
Deep RNN,16,max,Adam,250,0.906668141103616
Deep RNN,16,max,Adam,350,0.9048988167643481
Deep RNN,16,avg,SGD,5,0.8989273471193188
Deep RNN,16,avg,SGD,50,0.9052305650779608
Deep RNN,16,avg,SGD,100,0.9040141545947141
Deep RNN,16,avg,SGD,250,0.9047882339931439
Deep RNN,16,avg,SGD,350,0.9040141545947141
Deep RNN,16,avg,RMSprop,5,0.900807254229791
Deep RNN,16,avg,RMSprop,50,0.9042353201371226
Deep RNN,16,avg,RMSprop,100,0.9026871613402632
Deep RNN,16,avg,RMSprop,250,0.9052305650779608
Deep RNN,16,avg,RMSprop,350,0.9036824062811014
Deep RNN,16,avg,Adam,5,0.9026871613402632
Deep RNN,16,avg,Adam,50,0.9019130819418335
Deep RNN,16,avg,Adam,100,0.9036824062811014
Deep RNN,16,avg,Adam,250,0.9039035718235099
Deep RNN,16,avg,Adam,350,0.9040141545947141
Deep RNN,32,max,SGD,5,0.8998120092889528
Deep RNN,32,max,SGD,50,0.9077739688156585
Deep RNN,32,max,SGD,100,0.9054517306203693
Deep RNN,32,max,SGD,250,0.9053411478491651
Deep RNN,32,max,SGD,350,0.9058940617051864
Deep RNN,32,max,RMSprop,5,0.8983744332632976
Deep RNN,32,max,RMSprop,50,0.9027977441114674
Deep RNN,32,max,RMSprop,100,0.9020236647130377
Deep RNN,32,max,RMSprop,250,0.9019130819418335
Deep RNN,32,max,RMSprop,350,0.9046776512219397
Deep RNN,32,max,Adam,5,0.901249585314608
Deep RNN,32,max,Adam,50,0.9016919163994249
Deep RNN,32,max,Adam,100,0.9023554130266505
Deep RNN,32,max,Adam,250,0.9016919163994249
Deep RNN,32,max,Adam,350,0.9047882339931439
Deep RNN,32,avg,SGD,5,0.9010284197721995
Deep RNN,32,avg,SGD,50,0.9061152272475949
Deep RNN,32,avg,SGD,100,0.9072210549596373
Deep RNN,32,avg,SGD,250,0.9054517306203693
Deep RNN,32,avg,SGD,350,0.9060046444763906
Deep RNN,32,avg,RMSprop,5,0.9004755059161783
Deep RNN,32,avg,RMSprop,50,0.900807254229791
Deep RNN,32,avg,RMSprop,100,0.9030189096538759
Deep RNN,32,avg,RMSprop,250,0.9024659957978547
Deep RNN,32,avg,RMSprop,350,0.9058940617051864
Deep RNN,32,avg,Adam,5,0.9031294924250802
Deep RNN,32,avg,Adam,50,0.9032400751962845
Deep RNN,32,avg,Adam,100,0.9040141545947141
Deep RNN,32,avg,Adam,250,0.9063363927900033
Deep RNN,32,avg,Adam,350,0.9056728961627778
Deep RNN,64,max,SGD,5,0.900364923144974
Deep RNN,64,max,SGD,50,0.9055623133915736
Deep RNN,64,max,SGD,100,0.9069998894172288
Deep RNN,64,max,SGD,250,0.905783478933982
Deep RNN,64,max,SGD,350,0.9082162999004755
Deep RNN,64,max,RMSprop,5,0.9015813336282207
Deep RNN,64,max,RMSprop,50,0.9032400751962845
Deep RNN,64,max,RMSprop,100,0.9015813336282207
Deep RNN,64,max,RMSprop,250,0.9016919163994249
Deep RNN,64,max,RMSprop,350,0.902134247484242
Deep RNN,64,max,Adam,5,0.9019130819418335
Deep RNN,64,max,Adam,50,0.902134247484242
Deep RNN,64,max,Adam,100,0.902134247484242
Deep RNN,64,max,Adam,250,0.9063363927900033
Deep RNN,64,max,Adam,350,0.9022448302554462
Deep RNN,64,avg,SGD,5,0.900807254229791
Deep RNN,64,avg,SGD,50,0.9069998894172288
Deep RNN,64,avg,SGD,100,0.9052305650779608
Deep RNN,64,avg,SGD,250,0.9072210549596373
Deep RNN,64,avg,SGD,350,0.9077739688156585
Deep RNN,64,avg,RMSprop,5,0.8941722879575362
Deep RNN,64,avg,RMSprop,50,0.8984850160345018
Deep RNN,64,avg,RMSprop,100,0.9033506579674887
Deep RNN,64,avg,RMSprop,250,0.901249585314608
Deep RNN,64,avg,RMSprop,350,0.9039035718235099
Deep RNN,64,avg,Adam,5,0.9039035718235099
Deep RNN,64,avg,Adam,50,0.9006966714585868
Deep RNN,64,avg,Adam,100,0.9037929890523057
Deep RNN,64,avg,Adam,250,0.9022448302554462
Deep RNN,64,avg,Adam,350,0.9014707508570164
