Model Type,Hidden Size,Pooling,Optimizer,Epochs,Accuracy
RNN,16,max,SGD,5,0.898595598805706
RNN,16,max,SGD,50,0.9052305650779608
RNN,16,max,SGD,100,0.9054517306203693
RNN,16,max,SGD,250,0.9060046444763906
RNN,16,max,SGD,350,0.9040141545947141
RNN,16,max,RMSprop,5,0.9051199823067566
RNN,16,max,RMSprop,50,0.9056728961627778
RNN,16,max,RMSprop,100,0.9043459029083268
RNN,16,max,RMSprop,250,0.9046776512219397
RNN,16,max,RMSprop,350,0.9047882339931439
RNN,16,max,Adam,5,0.9054517306203693
RNN,16,max,Adam,50,0.9035718235098972
RNN,16,max,Adam,100,0.9060046444763906
RNN,16,max,Adam,250,0.9009178370009953
RNN,16,max,Adam,350,0.9076633860444543
RNN,16,avg,SGD,5,0.8983744332632976
RNN,16,avg,SGD,50,0.9055623133915736
RNN,16,avg,SGD,100,0.9043459029083268
RNN,16,avg,SGD,250,0.9031294924250802
RNN,16,avg,SGD,350,0.9035718235098972
RNN,16,avg,RMSprop,5,0.9039035718235099
RNN,16,avg,RMSprop,50,0.907995134358067
RNN,16,avg,RMSprop,100,0.9060046444763906
RNN,16,avg,RMSprop,250,0.9036824062811014
RNN,16,avg,RMSprop,350,0.9042353201371226
RNN,16,avg,Adam,5,0.9027977441114674
RNN,16,avg,Adam,50,0.9046776512219397
RNN,16,avg,Adam,100,0.9037929890523057
RNN,16,avg,Adam,250,0.9030189096538759
RNN,16,avg,Adam,350,0.9064469755612076
RNN,32,max,SGD,5,0.9010284197721995
RNN,32,max,SGD,50,0.9055623133915736
RNN,32,max,SGD,100,0.9087692137564968
RNN,32,max,SGD,250,0.9054517306203693
RNN,32,max,SGD,350,0.9047882339931439
RNN,32,max,RMSprop,5,0.9006966714585868
RNN,32,max,RMSprop,50,0.9030189096538759
RNN,32,max,RMSprop,100,0.9033506579674887
RNN,32,max,RMSprop,250,0.9041247373659184
RNN,32,max,RMSprop,350,0.9067787238748203
RNN,32,max,Adam,5,0.9072210549596373
RNN,32,max,Adam,50,0.9062258100187991
RNN,32,max,Adam,100,0.9033506579674887
RNN,32,max,Adam,250,0.9044564856795311
RNN,32,max,Adam,350,0.9061152272475949
RNN,32,avg,SGD,5,0.902134247484242
RNN,32,avg,SGD,50,0.9064469755612076
RNN,32,avg,SGD,100,0.9061152272475949
RNN,32,avg,SGD,250,0.9033506579674887
RNN,32,avg,SGD,350,0.9045670684507354
RNN,32,avg,RMSprop,5,0.9040141545947141
RNN,32,avg,RMSprop,50,0.9037929890523057
RNN,32,avg,RMSprop,100,0.9039035718235099
RNN,32,avg,RMSprop,250,0.9052305650779608
RNN,32,avg,RMSprop,350,0.9045670684507354
RNN,32,avg,Adam,5,0.9044564856795311
RNN,32,avg,Adam,50,0.9041247373659184
RNN,32,avg,Adam,100,0.9056728961627778
RNN,32,avg,Adam,250,0.9053411478491651
RNN,32,avg,Adam,350,0.9055623133915736
RNN,64,max,SGD,5,0.9016919163994249
RNN,64,max,SGD,50,0.9054517306203693
RNN,64,max,SGD,100,0.9097644586973349
RNN,64,max,SGD,250,0.9065575583324118
RNN,64,max,SGD,350,0.9077739688156585
RNN,64,max,RMSprop,5,0.902134247484242
RNN,64,max,RMSprop,50,0.9024659957978547
RNN,64,max,RMSprop,100,0.9046776512219397
RNN,64,max,RMSprop,250,0.9015813336282207
RNN,64,max,RMSprop,350,0.9014707508570164
RNN,64,max,Adam,5,0.9042353201371226
RNN,64,max,Adam,50,0.9004755059161783
RNN,64,max,Adam,100,0.9040141545947141
RNN,64,max,Adam,250,0.9064469755612076
RNN,64,max,Adam,350,0.9043459029083268
RNN,64,avg,SGD,5,0.9001437576025655
RNN,64,avg,SGD,50,0.9041247373659184
RNN,64,avg,SGD,100,0.9055623133915736
RNN,64,avg,SGD,250,0.9058940617051864
RNN,64,avg,SGD,350,0.9072210549596373
RNN,64,avg,RMSprop,5,0.9048988167643481
RNN,64,avg,RMSprop,50,0.9026871613402632
RNN,64,avg,RMSprop,100,0.9036824062811014
RNN,64,avg,RMSprop,250,0.9006966714585868
RNN,64,avg,RMSprop,350,0.9023554130266505
RNN,64,avg,Adam,5,0.9013601680858122
RNN,64,avg,Adam,50,0.9047882339931439
RNN,64,avg,Adam,100,0.9047882339931439
RNN,64,avg,Adam,250,0.9077739688156585
RNN,64,avg,Adam,350,0.9052305650779608
